date,groundtruth
06/17/2012,0.9558532139
06/24/2012,0.937844163
07/01/2012,0.8714528409000001
07/08/2012,0.7205400918000001
07/15/2012,0.7875596461
07/22/2012,0.7346817371
07/29/2012,0.7486402248999999
08/05/2012,0.7393570262000001
08/12/2012,0.7853205467000001
08/19/2012,0.7723231654
08/26/2012,0.9069590471
09/02/2012,0.9348758325
09/09/2012,1.0828757144
09/16/2012,1.2281083294
09/23/2012,1.2517950523999999
09/30/2012,1.2471655329
10/07/2012,1.3624351303
10/14/2012,1.3490537112999998
10/21/2012,1.4398378272999999
10/28/2012,1.6134579907
11/04/2012,1.5578038982
11/11/2012,1.7571747723
11/18/2012,2.0813250372
11/25/2012,2.2577675173
12/02/2012,2.9018963404
12/09/2012,4.0457655107
12/16/2012,5.7551084603
12/23/2012,7.315641286799999
12/30/2012,6.806455961499999
01/06/2013,7.062346727
01/13/2013,6.24657461
01/20/2013,2.9613086606
01/27/2013,3.8396624473000003
02/03/2013,3.2848301389
02/10/2013,3.1616137636
02/17/2013,3.0759985466
02/24/2013,3.0383619026999997
03/03/2013,3.1729584407
03/10/2013,2.9636288611
03/17/2013,2.6253584166999997
03/24/2013,2.4127155819999997
03/31/2013,2.1913623541
04/07/2013,1.7936230008
04/14/2013,1.2813956986
04/21/2013,1.2193754106
04/28/2013,1.2146222475
05/05/2013,1.0685172946
05/12/2013,0.9534164088
05/19/2013,1.0201768306999999
05/26/2013,0.9827143073000001
06/02/2013,0.8876909254
06/09/2013,0.9374298331
06/16/2013,0.8457886407999999
06/23/2013,0.8272253323000001
06/30/2013,0.844015738
07/07/2013,0.7517785040999999
07/14/2013,0.7316526381999999
07/21/2013,0.7517945698999999
07/28/2013,0.7523725384000001
08/04/2013,0.6277583321
08/11/2013,0.7484297251
08/18/2013,1.0072129443
08/25/2013,0.8126419676000001
09/01/2013,1.0344933595999999
09/08/2013,1.1767930249
09/15/2013,1.2982123225
09/22/2013,1.2890688259
09/29/2013,1.2839422928
10/06/2013,1.2899881065
10/13/2013,1.4452734857
10/20/2013,1.5156410633000001
10/27/2013,1.6352685244
11/03/2013,1.5603090784
11/10/2013,1.576249466
11/17/2013,1.7233920822
11/24/2013,1.9165473183000001
12/01/2013,1.9855570933000002
12/08/2013,2.180438776
12/15/2013,2.6135449324
12/22/2013,3.4295002032
12/29/2013,3.8836439823
01/05/2014,4.0622378356
01/12/2014,4.648301048
01/19/2014,4.3701260586
01/26/2014,3.6942276804
02/02/2014,3.2855152563999996
02/09/2014,3.1349861425
02/16/2014,2.6833913443
02/23/2014,2.4483725187
03/02/2014,2.2665319847
03/09/2014,1.8949713472999998
03/16/2014,1.9242463143000001
03/23/2014,1.9565538643
03/30/2014,1.8913129263
04/06/2014,1.8729859421000001
04/13/2014,1.4783301557
04/20/2014,1.3713080169
04/27/2014,1.517724637
05/04/2014,1.3958183129
05/11/2014,1.3232036396
05/18/2014,1.2435162435
05/25/2014,1.2803778068
06/01/2014,1.1474996664
06/08/2014,1.0669195661
06/15/2014,1.0135531565
06/22/2014,0.9189727728
06/29/2014,1.085235896
07/06/2014,0.8387266184000001
07/13/2014,0.8716260279000001
07/20/2014,0.7936896770999999
07/27/2014,0.80300395
08/03/2014,0.7525591685999999
08/10/2014,0.7990285731
08/17/2014,0.8717685741
08/24/2014,0.9627195166
08/31/2014,1.0336222554
09/07/2014,1.3554157528
09/14/2014,1.4398590776
09/21/2014,1.4690312335
09/28/2014,1.4301308705000002
10/05/2014,1.7716056886000002
10/12/2014,1.8736734246000002
10/19/2014,1.7034583768
10/26/2014,1.7127424236000002
11/02/2014,1.7063529036000002
11/09/2014,1.7527390566
11/16/2014,1.9912503528
11/23/2014,2.3904198262
11/30/2014,2.4646386359
12/07/2014,3.4227611228
12/14/2014,5.4491115075
12/21/2014,9.8743851376
12/28/2014,8.6694159743
01/04/2015,6.490730792999999
01/11/2015,4.9922969701
01/18/2015,4.3433783201
01/25/2015,4.0525943308
02/01/2015,3.0879904502
02/08/2015,2.6481501746
02/15/2015,2.4328530191
02/22/2015,1.7094920125
03/01/2015,1.7556494963999998
03/08/2015,1.629891901
03/15/2015,1.6223572296000002
03/22/2015,1.880768223
03/29/2015,1.8815048173
04/05/2015,1.752421367
04/12/2015,1.4685402
04/19/2015,1.4707220529
04/26/2015,1.5386586531
05/03/2015,1.4625775915
05/10/2015,1.3958532547
05/17/2015,1.3878437226
05/24/2015,1.3603114677
05/31/2015,1.1447094567
06/07/2015,1.2066543243999999
06/14/2015,1.1283329576999999
06/21/2015,0.9852680252
06/28/2015,0.9938858881999999
07/05/2015,0.9413692155
07/12/2015,0.8323944595
07/19/2015,0.7795656518
07/26/2015,0.8156127383
08/02/2015,0.809959502
08/09/2015,0.8140731729999999
08/16/2015,0.8002088637
08/23/2015,0.8657349226000001
08/30/2015,1.0562580955
09/06/2015,1.1411670789
09/13/2015,1.0796545106
09/20/2015,1.2906871609000001
09/27/2015,1.3192305457
10/04/2015,1.3399603721
10/11/2015,1.5089225723
10/18/2015,1.7640958586000002
10/25/2015,1.5486776763999999
11/01/2015,1.6595527462000002
11/08/2015,1.6762097227000001
11/15/2015,1.9030403736000001
11/22/2015,2.1701626432
11/29/2015,2.0732513271
12/06/2015,2.2207483794
12/13/2015,2.3655147075
12/20/2015,2.8080403367
12/27/2015,2.6709513177
01/03/2016,2.3288053991
01/10/2016,2.2283741755
01/17/2016,2.1884337029
01/24/2016,1.9345238095
01/31/2016,1.7453372697999998
02/07/2016,1.9084970437
02/14/2016,2.3280163964
02/21/2016,2.6924725786000003
02/28/2016,3.3453915839999997
03/06/2016,3.9430878751
03/13/2016,3.7071014965
03/20/2016,3.1451744709
03/27/2016,2.8142448372000004
04/03/2016,2.430053576
04/10/2016,2.4967622768
04/17/2016,2.6172824378
04/24/2016,2.5209388038
05/01/2016,2.1754445891
05/08/2016,1.8763583156
05/15/2016,1.7560574237
05/22/2016,1.7105886762
05/29/2016,1.6643911319
06/05/2016,1.3406706642
06/12/2016,1.4336077958000002
06/19/2016,1.2525278059
06/26/2016,1.308536259
07/03/2016,1.1676044243
07/10/2016,0.9761841456
07/17/2016,0.9440457591
07/24/2016,1.0115687699
07/31/2016,0.8688361066
08/07/2016,1.0355050773
08/14/2016,0.9524474548
08/21/2016,1.0116084045
08/28/2016,1.0222722723
09/04/2016,1.139039213
09/11/2016,1.1964686318000002
09/18/2016,1.4148924186
09/25/2016,1.5434550696
10/02/2016,1.5352993947
10/09/2016,1.6410076977
10/16/2016,1.6265821429
10/23/2016,1.8540272175
10/30/2016,2.0027300027
11/06/2016,1.9609609948
11/13/2016,2.0505772997
11/20/2016,2.297037455
11/27/2016,2.1543113223
12/04/2016,2.2263286601
12/11/2016,2.3139203752
12/18/2016,2.8986824171
12/25/2016,3.4292994722000003
01/01/2017,3.1890614381
01/08/2017,3.3647680121
01/15/2017,3.1986320052
01/22/2017,3.3022844357
01/29/2017,3.7381723108
02/05/2017,5.2185863748
02/12/2017,5.8855013088999995
02/19/2017,6.670574339
02/26/2017,4.0264553394
03/05/2017,3.6022532452
03/12/2017,3.6076061845
03/19/2017,3.8636742402999995
03/26/2017,3.8032264566000005
04/02/2017,2.7071884709
04/09/2017,1.9189627925
04/16/2017,1.4051932963
04/23/2017,1.24090336
04/30/2017,1.088378732
05/07/2017,0.9755272358
05/14/2017,0.9914092816
