date,groundtruth
09/01/2013,0.794537554
09/08/2013,0.739140323
09/15/2013,0.665083135
09/22/2013,1.55075188
09/29/2013,1.517643541
10/06/2013,1.627715971
10/13/2013,1.5299801780000002
10/20/2013,2.9317423660000004
10/27/2013,2.8267651369999998
11/03/2013,3.203463203
11/10/2013,3.307405713
11/17/2013,3.769572782
11/24/2013,3.86407767
12/01/2013,5.90269047
12/08/2013,6.341898114
12/15/2013,7.011476182999999
12/22/2013,7.460474307999999
12/29/2013,6.913664756
01/05/2014,5.124250214
01/12/2014,4.421171013
01/19/2014,4.905885359
01/26/2014,4.191724262
02/02/2014,3.621146835
02/09/2014,3.063807113
02/16/2014,1.964975746
02/23/2014,2.172430589
03/02/2014,1.9986283919999999
03/09/2014,1.75817064
03/16/2014,1.443367122
03/23/2014,1.400186692
03/30/2014,0.983606557
04/06/2014,0.993454885
04/13/2014,1.365795724
04/20/2014,1.568360041
04/27/2014,1.3565891469999998
05/04/2014,1.454589903
05/11/2014,1.52173913
05/18/2014,1.489444372
05/25/2014,1.120147307
06/01/2014,1.269490824
06/08/2014,1.316624365
06/15/2014,0.9358288770000001
06/22/2014,0.923861102
06/29/2014,0.90747682
07/06/2014,0.7280785059999999
07/13/2014,0.7587988379999999
07/20/2014,0.8819206270000001
07/27/2014,0.648323846
08/03/2014,1.02010201
08/10/2014,1.289461983
08/17/2014,1.569348226
08/24/2014,1.713483146
08/31/2014,1.817355747
09/07/2014,1.755952381
09/14/2014,2.126468942
09/21/2014,2.045420364
09/28/2014,1.5776869980000001
10/05/2014,1.9387827569999998
10/12/2014,1.6308040769999999
10/19/2014,1.731053409
10/26/2014,1.9815883909999998
11/02/2014,2.5133003119999997
11/09/2014,3.894913701
11/16/2014,5.619982159
11/23/2014,7.262164125
11/30/2014,5.01345895
12/07/2014,10.10722301
12/14/2014,15.33048505
12/21/2014,19.41769571
12/28/2014,11.22119559
01/04/2015,5.429162357999999
01/11/2015,8.251839433999999
01/18/2015,7.030558769
01/25/2015,5.856873823
02/01/2015,4.522755646
02/08/2015,5.49267412
02/15/2015,6.0342956370000005
02/22/2015,5.52357624
03/01/2015,5.870517221
03/08/2015,4.714640199
03/15/2015,3.903237116
03/22/2015,2.79083013
03/29/2015,1.978494624
04/05/2015,1.7852745630000002
04/12/2015,1.6574585640000001
04/19/2015,1.530612245
04/26/2015,1.420849421
05/03/2015,1.33358735
05/10/2015,1.877746704
05/17/2015,1.6
05/24/2015,0.8
05/31/2015,1.0
06/07/2015,1.0
06/14/2015,1.0
06/21/2015,0.6
06/28/2015,0.6
07/05/2015,0.7
07/12/2015,1.0
07/19/2015,0.6
07/26/2015,0.6
08/02/2015,0.8
08/09/2015,1.1
08/16/2015,1.2
08/23/2015,1.4
08/30/2015,1.1
09/06/2015,0.9
09/13/2015,1.3
09/20/2015,1.6
09/27/2015,2.2
10/04/2015,3.0
10/11/2015,1.7
10/18/2015,3.1
10/25/2015,4.2
11/01/2015,2.0
11/08/2015,2.3
11/15/2015,1.2
11/22/2015,0.4
11/29/2015,2.3
12/06/2015,0.9
12/13/2015,1.3
12/20/2015,0.8
12/27/2015,0.8
01/03/2016,0.8
01/10/2016,1.8
01/17/2016,3.2
01/24/2016,4.0
01/31/2016,3.2
02/07/2016,4.2
02/14/2016,6.3
02/21/2016,16.4
02/28/2016,19.0
03/06/2016,8.6
03/13/2016,10.1
03/20/2016,10.4
03/27/2016,14.4
04/03/2016,7.2
04/10/2016,9.0
04/17/2016,5.1
04/24/2016,4.2
05/01/2016,1.5
05/08/2016,5.55
05/15/2016,4.45
05/22/2016,0.7929999999999999
05/29/2016,2.32
06/05/2016,1.97
06/12/2016,1.97
06/19/2016,2.87
06/26/2016,1.34
07/03/2016,2.06
07/10/2016,1.17
07/17/2016,0.821
07/24/2016,2.41
07/31/2016,0.735
08/07/2016,1.05
08/14/2016,1.83
08/21/2016,1.43
08/28/2016,6.99
09/04/2016,1.43
09/11/2016,1.48
09/18/2016,1.63
09/25/2016,1.74
10/02/2016,1.05
10/09/2016,2.58
10/16/2016,1.48
10/23/2016,1.63
10/30/2016,3.9
11/06/2016,0.85
11/13/2016,3.88
11/20/2016,3.3
11/27/2016,4.02
12/04/2016,3.93
12/11/2016,5.86
12/18/2016,6.07
12/25/2016,8.31
01/01/2017,8.46
01/08/2017,7.31
01/15/2017,10.8
01/22/2017,14.2
01/29/2017,13.9
02/05/2017,15.1
02/12/2017,15.4
02/19/2017,20.5
02/26/2017,22.0
03/05/2017,
03/12/2017,
03/19/2017,
03/26/2017,
04/02/2017,
04/09/2017,
04/16/2017,
04/23/2017,
04/30/2017,
05/07/2017,
05/14/2017,
